Cluster Index	Z	x	y	z	
9	17.5	49	23	5
9	17.5	50	20	5
9	16.5	29	23	6
9	16.4	40	18	7
9	16.4	35	15	8
9	15.7	30	22	4
8	11.8	27	50	17
8	8.57	24	47	15
8	6.66	21	51	19
8	5	23	56	21
8	4.39	22	52	23
8	3.68	21	47	12
7	10.8	27	46	22
7	3.45	29	53	25
7	3.35	27	50	21
6	8.56	27	56	10
6	5.05	28	52	9
6	4.79	25	50	9
6	4.03	22	57	14
5	7.19	37	54	19
5	6.15	39	50	18
5	5.2	42	52	20
5	3.96	34	52	18
4	7.14	25	35	19
4	4.1	18	39	22
3	4.9	58	41	13
3	3.73	63	43	14
3	3.63	55	41	14
3	3.47	54	39	13
3	3.23	63	44	16
2	5.43	51	45	11
2	3.82	55	44	10
1	4.34	31	29	13
1	4.01	32	29	11
