Cluster Index	Z	x	y	z	
16	7.34	38	20	16
16	6.47	43	20	17
16	6.33	23	28	12
16	6.32	41	22	17
16	6.24	39	23	17
16	5.88	35	29	15
15	6.04	42	66	9
15	5.64	40	63	7
15	5.18	37	64	11
15	5.11	39	63	10
15	5.03	35	62	9
15	4.67	39	65	3
14	7.24	57	23	14
14	6.87	60	26	13
14	5.95	53	27	19
14	5.9	53	21	22
14	5.84	54	31	12
14	5.67	56	20	14
13	6.68	17	35	16
13	5.93	16	33	19
13	5.2	17	29	13
13	4.56	19	31	22
13	4.45	18	35	11
13	4.24	16	30	15
12	5.91	17	41	3
12	5.14	21	42	5
12	4.87	17	42	6
12	4.62	17	43	1
12	4.26	23	42	1
12	4.06	25	44	0
11	5.05	47	58	17
11	4.51	44	58	17
11	4.42	48	54	17
10	5.29	56	33	7
10	4.46	57	39	5
10	4.37	57	37	5
10	3.78	60	37	7
10	3.34	62	37	2
9	5.01	35	16	1
9	4.66	27	20	1
9	4.37	26	18	0
9	4.34	29	20	1
9	4.24	31	17	0
9	4.01	33	22	0
8	5.77	59	42	2
8	5.68	56	42	1
8	4.58	53	43	0
7	5.68	33	26	6
7	4.73	44	25	6
7	4.21	39	24	6
7	3.96	43	24	9
7	3.41	36	25	8
6	4.85	16	31	0
6	4.73	17	28	0
6	4.53	22	23	3
6	4.48	18	26	0
6	4.32	20	30	1
6	4.16	21	24	1
5	5.95	31	31	12
5	3.93	30	34	15
5	3.91	28	36	16
4	4.85	39	40	18
4	3.19	39	42	21
3	4.21	58	35	14
3	4.15	58	38	12
3	3.17	61	33	15
2	4.11	25	35	16
2	3.97	24	35	13
1	4.77	28	28	9
