Cluster Index	Z	x	y	z	
16	7.34	4.23	-77	26.5
16	6.47	-9.88	-76.7	31.7
16	6.33	46.4	-53.6	6.18
16	6.32	-4.05	-70.6	30.8
16	6.24	1.76	-67.6	30
16	5.88	12.8	-49.6	20.6
15	6.04	-8.85	62.9	-4.38
15	5.64	-3.84	53.2	-11.8
15	5.18	6.3	57.1	1.56
15	5.11	0.128	53.9	-1.27
15	5.03	11.3	50.5	-5.98
15	4.67	-2.32	58.5	-26.8
14	7.24	-51.4	-67.9	24.8
14	6.87	-60.4	-58.8	21.7
14	5.95	-38	-54.6	41
14	5.9	-37	-72.3	52.7
14	5.84	-43.3	-43.8	15.5
14	5.67	-48.6	-77.1	25
13	6.68	65.4	-31.3	17.7
13	5.93	69.3	-36.8	28.5
13	5.2	64.2	-50.4	7.75
13	4.56	61.6	-42.2	40.5
13	4.45	60.7	-32.4	-0.0421
13	4.24	67.8	-46.9	14.5
12	5.91	60.9	-15.7	-30.1
12	5.14	50	-12.1	-21.8
12	4.87	61.9	-12	-19.4
12	4.62	60.2	-10	-37.6
12	4.26	42.8	-13	-35.6
12	4.06	36.7	-7.01	-38.8
11	5.05	-20.6	40.2	27.2
11	4.51	-12	40.1	26.3
11	4.42	-23.6	27.9	28.1
10	5.29	-50.8	-38.7	-2.23
10	4.46	-54.3	-20.7	-10
10	4.37	-54.3	-26.8	-9.73
10	3.78	-62.3	-26.3	-1.58
10	3.34	-69.9	-27.4	-19
9	5.01	7.49	-92.7	-27.9
9	4.66	30.7	-80.5	-31
9	4.37	33.2	-86.9	-34.6
9	4.34	24.9	-80.5	-30.4
9	4.24	18.7	-89.9	-32.9
9	4.01	13	-74.5	-33
8	5.77	-61.1	-12.1	-20.7
8	5.68	-52.8	-12.4	-25.2
8	4.58	-44.4	-9.55	-29.9
7	5.68	15.3	-60.9	-12
7	4.73	-16.6	-63.7	-8.4
7	4.21	-2.14	-66.9	-9.82
7	3.96	-12.7	-66.2	2.25
7	3.41	7.28	-63.4	-3.7
6	4.85	62.5	-47.1	-39.7
6	4.73	59.5	-56.3	-38.9
6	4.53	46	-71	-25.8
6	4.48	56.6	-62.5	-38.3
6	4.32	51.2	-49.9	-34.7
6	4.16	48.2	-68.3	-33.5
5	5.95	23.3	-44.2	8.24
5	3.93	27.3	-34.3	18.3
5	3.91	33.5	-28	21
4	4.85	2.48	-15.1	31
4	3.19	3.6	-8.26	41.5
3	4.21	-54.1	-31	23.3
3	4.15	-54.7	-22.2	15.7
3	3.17	-62.4	-36.8	28.2
2	4.77	30.9	-54.2	-3.06
1	4.11	42.2	-31.1	20.2
1	3.97	44	-31.8	9.05
