Cluster Index	Z	x	y	z	
9	17	-34.4	-79.2	-9.37
9	17	-46.9	-52.1	-20.3
9	16	-34.7	-73.3	-13.3
9	15.6	-45.6	-72.8	-4.81
9	15.5	-40.9	-76.5	-16.1
9	15.5	-4.81	-85.1	-5
8	8.94	-42.2	16.9	49
8	8.37	-35.6	18.5	26.2
8	6.26	-22.4	7.28	43.6
8	6.22	-53	18.7	28.1
8	5.77	-31.4	4.04	41.1
8	5.53	-24.2	7.96	54.7
7	11.1	37.1	15.2	22.1
7	10	38.8	4.03	40.8
7	5.02	58.5	21.9	30.5
7	4.61	50.2	34.5	34.4
6	8.11	-18.5	-59.5	61
6	6	-19.4	-41.7	49.3
5	8.5	35.1	29.3	-0.228
4	4.25	1.92	13.9	51.6
4	3.95	1.48	1.42	48.6
4	3.71	10.6	13.9	50.7
3	5.47	43.3	-30.5	31
2	4.58	-45.7	-17.2	47.3
2	3.17	-37.7	-17.7	39.2
1	5.59	2.7	15.7	29.5
1	4.2	-2.33	22.3	37.1
1	3.94	6.04	28.2	32.2
