Cluster Index	Z	x	y	z	
8	17.9	-34.4	-79.2	-9.37
8	16.7	-34.7	-73.3	-13.3
8	16.5	-4.81	-85.1	-5
8	16.3	9.96	-94.2	-2.51
8	16.3	23.2	-73.7	-19.5
8	15.9	-34.9	-52	-17.9
7	12.8	37.1	15.2	22.1
7	11.8	39.2	7.32	44.2
7	11.1	35.1	32.3	-0.378
7	10.8	45	5.5	14.5
7	8.9	55.2	18.6	27.3
7	7.65	50.2	34.5	34.4
6	11.3	-35.6	18.5	26.2
6	10.2	-39.3	16.8	48.6
6	8.48	-22	10.6	47.1
6	6.61	-31.4	4.04	41.1
6	5.08	-39.5	38.1	44
6	4.95	-38.9	29.4	51.6
5	10.9	43.3	-30.5	31
5	6.22	64.7	-20.7	39.1
4	7.66	8.93	28.2	31.9
4	6.85	-2.33	22.3	37.1
4	6.01	-0.196	15.7	29.8
4	4.02	10.1	44.2	42
3	8.5	-31.9	32.6	3.23
3	4.8	-32	17.2	3.99
3	3.68	-36	13.5	-6.36
2	4.33	12.8	59.3	37.3
2	4.17	-2.41	62	31.5
2	3.96	-13.3	56.4	40.3
2	3.61	9.44	49.9	34.4
2	3.48	1.18	59.4	38.5
2	3.36	12.1	61.9	29.9
1	5.53	-21.8	-29.7	-5.82
1	3.64	-15.2	-23.1	0.457
